age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native-country,income
2,Self-emp-not-inc,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,2,United-States,>50K
2,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,3,United-States,>50K
3,Private,HS-grad,9,Separated,Other-service,Unmarried,Black,Female,0,0,0,United-States,<=50K
1,Federal-gov,9th,5,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,0,2,United-States,<=50K
2,Private,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,3,2,United-States,<=50K
4,Private,HS-grad,9,Divorced,Tech-support,Unmarried,White,Female,0,0,2,United-States,<=50K
4,Local-gov,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,2,United-States,>50K
0,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,2,United-States,<=50K
3,,Some-college,10,Married-civ-spouse,,Husband,Asian-Pac-Islander,Male,0,0,3,South,>50K
2,Private,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,4,United-States,<=50K
3,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
0,Local-gov,Assoc-acdm,12,Never-married,Protective-serv,Not-in-family,White,Male,0,0,3,United-States,<=50K
0,Private,Some-college,10,Never-married,Sales,Own-child,Black,Male,0,0,2,United-States,<=50K
2,Private,Bachelors,13,Divorced,Exec-managerial,Own-child,White,Male,0,1,2,United-States,<=50K
1,Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Own-child,White,Male,0,0,2,United-States,<=50K
0,State-gov,Some-college,10,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,0,United-States,<=50K
3,Private,11th,7,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,2,Puerto-Rico,<=50K
0,Private,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,2,United-States,<=50K
0,Private,HS-grad,9,Married-AF-spouse,Adm-clerical,Wife,White,Female,0,0,1,United-States,<=50K
1,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,2,,>50K
3,Self-emp-not-inc,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,<=50K
1,Private,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,United-States,<=50K
3,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,<=50K
0,Private,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,3,United-States,<=50K
3,Private,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,2,United-States,<=50K
0,Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,1,United-States,<=50K
4,Federal-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,2,United-States,>50K
3,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,United-States,<=50K
2,Private,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,2,United-States,<=50K
2,State-gov,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
1,Private,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,2,United-States,<=50K
0,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Other,Female,0,0,2,United-States,<=50K
0,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,1,,<=50K
3,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,3,3,Honduras,>50K
3,Federal-gov,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,3,United-States,>50K
3,Self-emp-inc,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,3,United-States,<=50K
2,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,2,United-States,>50K
3,Private,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,Mexico,<=50K
1,Private,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,0,0,2,Puerto-Rico,<=50K
2,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,3,United-States,<=50K
1,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,2,0,2,United-States,<=50K
1,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,1,0,2,United-States,<=50K
1,,7th-8th,4,Married-spouse-absent,,Not-in-family,White,Male,0,0,2,,<=50K
3,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,2,United-States,<=50K
2,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,>50K
1,Private,Some-college,10,Divorced,Tech-support,Not-in-family,White,Male,0,0,3,United-States,<=50K
2,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
1,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
3,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,2,United-States,>50K
3,Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,3,United-States,>50K
0,,Some-college,10,Never-married,,Own-child,White,Male,0,0,2,United-States,<=50K
0,Private,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,1,United-States,<=50K
1,Private,Bachelors,13,Separated,Sales,Own-child,Black,Female,0,0,2,United-States,<=50K
1,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,4,United-States,>50K
0,Private,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,2,United-States,<=50K
4,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,0,0,0,United-States,<=50K
1,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,2,Mexico,<=50K
2,Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,2,United-States,<=50K
4,,10th,6,Married-civ-spouse,,Husband,White,Male,0,0,0,United-States,<=50K
0,Private,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,1,United-States,<=50K
1,Local-gov,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,2,United-States,<=50K
0,Private,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,1,United-States,<=50K
3,Private,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,2,Cuba,<=50K
3,Private,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,2,United-States,<=50K
4,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,<=50K
2,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,4,0,2,United-States,>50K
3,Private,HS-grad,9,Divorced,Sales,Own-child,White,Female,0,0,1,United-States,<=50K
3,Local-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,2,United-States,>50K
1,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,3,United-States,<=50K
1,Private,9th,5,Never-married,Sales,Not-in-family,White,Male,0,0,2,United-States,<=50K
2,Federal-gov,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,3,United-States,>50K
4,Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,<=50K
2,Private,Some-college,10,Divorced,Craft-repair,Unmarried,White,Female,0,0,2,United-States,<=50K
1,Private,Some-college,10,Divorced,Machine-op-inspct,Unmarried,Black,Female,0,0,1,United-States,<=50K
1,Private,HS-grad,9,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,0,1,1,,<=50K
1,Local-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,2,United-States,>50K
1,Local-gov,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,3,United-States,<=50K
3,Self-emp-not-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,3,3,United-States,>50K
2,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,>50K
3,Private,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,White,Female,0,0,2,England,<=50K
1,Federal-gov,HS-grad,9,Never-married,Other-service,Own-child,Black,Male,0,0,2,United-States,<=50K
4,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,2,United-States,>50K
2,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,4,0,3,United-States,>50K
3,Self-emp-not-inc,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,3,United-States,<=50K
0,Private,Some-college,10,Never-married,Tech-support,Own-child,White,Female,0,0,2,United-States,<=50K
1,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,2,United-States,<=50K
1,Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,3,0,2,United-States,>50K
0,,10th,6,Never-married,,Own-child,White,Female,4,0,1,United-States,<=50K
1,Private,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,2,United-States,<=50K
1,Local-gov,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
2,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,2,United-States,<=50K
0,Private,Bachelors,13,Never-married,Sales,Other-relative,White,Male,0,0,2,United-States,<=50K
2,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,>50K
4,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,2,3,Canada,>50K
1,Private,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,2,0,1,United-States,<=50K
2,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,2,United-States,<=50K
3,Private,9th,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,3,United-States,<=50K
4,Self-emp-inc,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,<=50K
3,Local-gov,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,2,United-States,>50K
3,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,<=50K
0,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,2,United-States,<=50K
0,Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,2,United-States,<=50K
2,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,3,United-States,<=50K
1,Private,Bachelors,13,Never-married,Exec-managerial,Own-child,Black,Male,0,0,2,Germany,<=50K
1,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,3,United-States,>50K
0,Private,Some-college,10,Never-married,Other-service,Own-child,Black,Male,0,0,1,United-States,<=50K
3,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,2,United-States,>50K
0,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,2,1,United-States,<=50K
1,Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,2,United-States,>50K
1,,HS-grad,9,Married-civ-spouse,,Husband,White,Male,0,0,2,United-States,<=50K
2,Private,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,2,United-States,<=50K
1,Private,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Female,0,0,3,United-States,<=50K
0,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,2,2,United-States,<=50K
2,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,2,0,1,United-States,<=50K
2,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,<=50K
3,Private,Assoc-acdm,12,Divorced,Tech-support,Not-in-family,Black,Female,0,0,2,United-States,<=50K
2,Federal-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,Iran,>50K
2,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,3,United-States,<=50K
1,Private,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,1,United-States,<=50K
0,Private,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,0,United-States,<=50K
3,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,2,United-States,>50K
4,Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
1,Private,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,2,United-States,<=50K
0,Private,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,1,Mexico,<=50K
2,Private,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Female,0,1,2,United-States,>50K
4,Private,Some-college,10,Never-married,Tech-support,Other-relative,White,Male,0,0,2,United-States,<=50K
1,Private,HS-grad,9,Never-married,Transport-moving,Unmarried,Black,Female,0,0,1,United-States,<=50K
0,Private,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,1,United-States,<=50K
2,Private,HS-grad,9,Widowed,Other-service,Unmarried,White,Female,0,0,1,United-States,<=50K
4,Private,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,3,2,United-States,<=50K
2,,Some-college,10,Divorced,,Not-in-family,White,Female,0,0,2,United-States,<=50K
3,Local-gov,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,2,Mexico,<=50K
1,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
1,Private,Bachelors,13,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,0,0,2,Philippines,<=50K
0,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,1,United-States,<=50K
3,,HS-grad,9,Divorced,,Not-in-family,White,Male,0,0,2,United-States,>50K
3,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,3,United-States,<=50K
0,Private,Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,2,United-States,<=50K
4,Self-emp-not-inc,Some-college,10,Separated,Sales,Unmarried,Black,Male,0,2,0,United-States,<=50K
1,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,3,United-States,<=50K
2,Private,Bachelors,13,Separated,Other-service,Other-relative,Black,Male,0,0,3,United-States,<=50K
4,,1st-4th,2,Divorced,,Not-in-family,White,Female,0,0,0,United-States,<=50K
0,Private,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0,0,2,United-States,<=50K
2,Self-emp-inc,Masters,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,2,United-States,<=50K
1,Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,2,England,<=50K
2,Self-emp-not-inc,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,2,United-States,>50K
2,Private,Some-college,10,Divorced,Other-service,Unmarried,White,Female,0,0,2,Mexico,<=50K
2,Federal-gov,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,2,United-States,<=50K
3,State-gov,Masters,14,Widowed,Protective-serv,Unmarried,White,Male,0,0,2,United-States,<=50K
0,Private,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,0,United-States,<=50K
4,Local-gov,Assoc-voc,11,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,0,United-States,<=50K
1,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,3,2,United-States,<=50K
1,State-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,2,United-States,<=50K
3,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,3,2,United-States,>50K
1,Private,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,0,0,3,United-States,<=50K
1,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,>50K
1,Private,HS-grad,9,Married-spouse-absent,Sales,Unmarried,White,Female,0,0,1,United-States,<=50K
0,Private,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male,0,0,2,United-States,<=50K
1,Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,0,2,United-States,<=50K
0,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,0,United-States,<=50K
1,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,4,United-States,<=50K
2,Local-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,2,United-States,>50K
2,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
1,Private,Some-college,10,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,2,United-States,<=50K
2,Private,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,Mexico,>50K
2,Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,2,United-States,>50K
1,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,2,United-States,<=50K
2,Self-emp-not-inc,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,2,United-States,<=50K
3,,Bachelors,13,Divorced,,Not-in-family,White,Female,0,0,3,United-States,<=50K
1,Private,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,3,United-States,<=50K
4,State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0,United-States,>50K
2,Private,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,Black,Female,0,0,1,United-States,<=50K
0,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,United-States,<=50K
2,Local-gov,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,2,United-States,<=50K
3,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,2,United-States,<=50K
2,Federal-gov,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,1,United-States,<=50K
0,Private,5th-6th,3,Married-civ-spouse,Transport-moving,Other-relative,White,Male,0,0,2,Mexico,<=50K
2,Private,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,2,United-States,<=50K
2,Federal-gov,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,4,0,3,United-States,>50K
1,Private,Masters,14,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,2,0,2,United-States,>50K
0,Self-emp-not-inc,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,2,United-States,<=50K
1,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,2,2,United-States,<=50K
0,,HS-grad,9,Never-married,,Own-child,White,Male,0,0,2,Italy,<=50K
3,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,3,United-States,>50K
2,Local-gov,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,0,1,2,United-States,<=50K
2,State-gov,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,1,United-States,<=50K
0,Private,11th,7,Never-married,Sales,Own-child,White,Female,0,0,2,United-States,<=50K
2,Private,Bachelors,13,Married-civ-spouse,Other-service,Husband,Black,Male,2,0,2,United-States,>50K
1,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,3,United-States,<=50K
4,Self-emp-inc,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,4,0,1,United-States,>50K
0,Private,11th,7,Never-married,Sales,Own-child,White,Female,0,0,0,United-States,<=50K
2,Local-gov,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,2,United-States,<=50K
2,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,>50K
1,Private,Some-college,10,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,0,0,2,United-States,<=50K
4,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,2,United-States,<=50K
3,Self-emp-inc,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,United-States,>50K
2,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Black,Male,0,0,3,United-States,>50K
3,Private,Assoc-acdm,12,Divorced,Sales,Not-in-family,White,Female,0,0,2,United-States,<=50K
2,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,Poland,<=50K
2,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,3,United-States,<=50K
0,Private,10th,6,Never-married,Craft-repair,Not-in-family,White,Male,0,0,2,United-States,<=50K
1,Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,2,United-States,<=50K
4,,1st-4th,2,Divorced,,Not-in-family,White,Male,0,0,2,United-States,<=50K
4,Private,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Male,0,4,2,United-States,<=50K
3,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,0,United-States,<=50K
3,Local-gov,Preschool,1,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,1,United-States,<=50K
0,Private,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,2,United-States,<=50K
4,,10th,6,Divorced,,Not-in-family,Amer-Indian-Eskimo,Female,0,0,0,United-States,<=50K
4,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,1,0,3,United-States,<=50K
4,Private,Assoc-voc,11,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,0,Columbia,<=50K
4,Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
1,Private,11th,7,Separated,Transport-moving,Not-in-family,Black,Male,2,0,2,United-States,<=50K
2,Private,HS-grad,9,Divorced,Sales,Unmarried,Black,Female,0,0,2,United-States,<=50K
0,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,2,United-States,<=50K
1,Private,Some-college,10,Divorced,Craft-repair,Other-relative,Other,Female,0,0,2,United-States,<=50K
1,Private,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,3,United-States,>50K
4,State-gov,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,2,United-States,<=50K
2,State-gov,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
2,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,3,Iran,>50K
2,Local-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,4,United-States,>50K
0,Private,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,0,0,2,United-States,<=50K
2,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,>50K
2,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,0,United-States,<=50K
0,State-gov,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,3,United-States,<=50K
0,,Some-college,10,Never-married,,Own-child,White,Male,0,0,0,United-States,<=50K
2,Private,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,2,2,United-States,<=50K
4,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,1,,<=50K
4,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,2,United-States,>50K
1,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,1,United-States,<=50K
2,Private,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,White,Male,0,3,3,United-States,>50K
2,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,2,,<=50K
2,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,2,United-States,>50K
2,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,2,United-States,<=50K
4,Local-gov,10th,6,Widowed,Other-service,Unmarried,Black,Female,0,0,1,United-States,<=50K
0,Local-gov,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,2,United-States,<=50K
4,Private,Some-college,10,Never-married,Transport-moving,Not-in-family,White,Male,0,0,0,United-States,<=50K
2,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,0,0,2,Cambodia,>50K
0,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,2,United-States,<=50K
1,Private,HS-grad,9,Separated,Other-service,Not-in-family,White,Female,0,0,1,United-States,<=50K
2,Private,Assoc-voc,11,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,2,United-States,<=50K
