Age Bin,Sensitive,Sex,Study Area,Study Title,Sector,Job Family Hiring,Job Title Hiring,Technical Skills,Comunication,Maturity,Dynamism,Mobility,English,European Residence,Italian Residence,Status
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Automotive,Engineering,Consultant,3,2,3,3,2,4,Yes,Yes,Positive
40 - 45 ,Female 40 - 45 Italian,Female,Engineering,Five-year degree,Aeronautics,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
36 - 40 ,Male 36 - 40 Italian,Male,Engineering,Five-year degree,Consulting,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
> 45 ,Male > 45 Italian,Male,Law,Five-year degree,Telecom,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,3,2,2,3,1,1,Yes,Yes,Negative
36 - 40 ,Male 36 - 40 Italian,Male,Engineering,Five-year degree,Telecom,Not Specified,Not Specified,2,2,3,3,3,3,Yes,Yes,Negative
31 - 35 ,Female 31 - 35 Italian,Female,Economic,Five-year degree,Others,Support,Support Advanced,2,2,2,2,2,2,Yes,Yes,Positive
36 - 40 ,Male 36 - 40 Italian,Male,Engineering,Five-year degree,Space,Not Specified,Not Specified,3,3,3,3,2,2,Yes,Yes,Negative
36 - 40 ,Male 36 - 40 Italian,Male,Scientific Field,Five-year degree,Life sciences,Engineering,Consultant,2,2,3,3,1,2,Yes,Yes,Positive
40 - 45 ,Male 40 - 45 Italian,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
36 - 40 ,Male 36 - 40 Italian,Male,Engineering,Five-year degree,Consulting,Engineering,Consultant,3,2,3,3,3,3,Yes,Yes,Positive
36 - 40 ,Female 36 - 40 Italian,Female,Engineering,Doctorate,Others,Engineering,Qualified Consultant,2,2,2,2,2,3,Yes,Yes,Positive
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,1,3,Yes,Yes,Negative
40 - 45 ,Male 40 - 45 Italian,Male,Engineering,Five-year degree,Others,Engineering,Qualified Consultant,3,2,2,2,2,2,Yes,Yes,Positive
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Consulting,Engineering,Consultant,2,2,2,2,2,3,Yes,Yes,Positive
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Telecom,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Others,Engineering,Consultant,3,3,3,2,2,3,Yes,Yes,Positive
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Consulting,Engineering,Consultant,3,3,3,2,2,2,Yes,Yes,Positive
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Aeronautics,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
31 - 35 ,Female 31 - 35 Italian,Female,Engineering,Five-year degree,Unemployed,Engineering,Consultant,2,2,2,2,2,3,Yes,Yes,Positive
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Others,Engineering,Consultant,3,3,2,2,2,2,Yes,Yes,Positive
31 - 35 ,Male 31 - 35 Non-Italian,Male,Engineering,Five-year degree,Space,Engineering,Consultant,2,2,2,2,2,3,Yes,No,Positive
> 45 ,Male > 45 Italian,Male,Scientific Field,High school graduation,Railway,Engineering,Team Leader,3,2,3,2,2,2,Yes,Yes,Positive
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Defence,Engineering,Consultant,3,3,2,3,3,3,Yes,Yes,Positive
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,3,3,2,1,1,3,Yes,Yes,Positive
31 - 35 ,Female 31 - 35 Italian,Female,Engineering,Five-year degree,Life sciences,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Three-year degree,Unemployed,Tech Consulting & Solutions,Advanced Consultant,3,2,2,3,1,3,Yes,Yes,Positive
26 - 30 ,Female 26 - 30 Italian,Female,Engineering,Three-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Naval,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
31 - 35 ,Female 31 - 35 Italian,Female,Engineering,Five-year degree,Others,Tech Consulting & Solutions,Consultant,2,2,2,2,3,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,1,2,2,2,2,3,Yes,Yes,Negative
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Three-year degree,Consulting,Engineering,Consultant,2,2,2,2,3,2,Yes,Yes,Positive
40 - 45 ,Male 40 - 45 Italian,Male,Engineering,Five-year degree,Consulting,Business & Sales,Business Manager,4,3,3,3,2,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
31 - 35 ,Female 31 - 35 Italian,Female,Engineering,Five-year degree,Space,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Unemployed,Engineering,Consultant,2,2,2,2,2,3,Yes,Yes,Positive
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Aeronautics,Engineering,Consultant,2,2,2,2,2,3,Yes,Yes,Positive
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Space,Engineering,Consultant,2,3,2,2,2,2,Yes,Yes,Positive
31 - 35 ,Female 31 - 35 Italian,Female,Engineering,Five-year degree,Others,Engineering,Junior Consultant,2,2,2,2,2,4,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Doctorate,Unemployed,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
31 - 35 ,Female 31 - 35 Italian,Female,Engineering,Five-year degree,Telecom,Engineering,Junior Consultant,2,3,3,3,3,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Automotive,Engineering,Qualified Consultant,3,3,3,4,2,4,Yes,Yes,Positive
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Others,Engineering,Junior Consultant,2,2,2,2,2,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Railway,Not Specified,Not Specified,2,3,3,3,1,3,Yes,Yes,Negative
40 - 45 ,Male 40 - 45 Italian,Male,Engineering,Five-year degree,Telecom,Engineering,Qualified Consultant,3,2,3,3,2,2,Yes,Yes,Positive
40 - 45 ,Male 40 - 45 Italian,Male,Engineering,Five-year degree,Defence,Engineering,Consultant,3,3,2,1,1,2,Yes,Yes,Positive
31 - 35 ,Female 31 - 35 Italian,Female,Engineering,Five-year degree,Automotive,Engineering,Consultant,2,2,2,2,2,3,Yes,Yes,Positive
< 20 ,Male < 20 Italian,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
31 - 35 ,Female 31 - 35 Italian,Female,Engineering,Five-year degree,Life sciences,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
> 45 ,Male > 45 Italian,Male,Informatics,High school graduation,Defence,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
36 - 40 ,Male 36 - 40 Italian,Male,Informatics,High school graduation,Life sciences,Engineering,Consultant,2,3,3,1,1,3,Yes,Yes,Positive
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,master's degree,Others,Tech Consulting & Solutions,Advanced Consultant,3,2,2,3,3,3,Yes,Yes,Positive
26 - 30 ,Female 26 - 30 Italian,Female,Engineering,Three-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Three-year degree,Life sciences,Not Specified,Not Specified,1,2,2,3,3,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Unemployed,Engineering,Qualified Consultant,2,3,3,3,3,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Others,Engineering,Junior Consultant,2,2,2,3,3,2,Yes,Yes,Positive
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,3,3,3,3,3,Yes,Yes,Positive
31 - 35 ,Female 31 - 35 Italian,Female,Engineering,Five-year degree,Unemployed,Engineering,Junior Consultant,2,2,3,2,2,3,Yes,Yes,Positive
36 - 40 ,Male 36 - 40 Italian,Male,Engineering,Three-year degree,Others,Engineering,Junior Consultant,2,3,2,2,2,2,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Three-year degree,Aeronautics,Not Specified,Not Specified,2,3,3,3,4,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Female 26 - 30 Italian,Female,Engineering,Three-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Aeronautics,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
31 - 35 ,Female 31 - 35 Italian,Female,Engineering,Five-year degree,Others,Engineering,Junior Consultant,2,3,3,3,3,3,Yes,Yes,Positive
26 - 30 ,Female 26 - 30 Italian,Female,Engineering,Three-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
31 - 35 ,Female 31 - 35 Italian,Female,Engineering,Five-year degree,Others,Engineering,???,2,2,2,2,2,2,Yes,Yes,Positive
26 - 30 ,Female 26 - 30 Italian,Female,Engineering,Five-year degree,Others,Not Specified,Not Specified,3,3,2,3,4,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,3,3,3,3,3,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,3,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Three-year degree,Unemployed,Tech Consulting & Solutions,Consultant,2,2,2,2,2,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
31 - 35 ,Female 31 - 35 Italian,Female,Engineering,Five-year degree,Consulting,Engineering,Consultant,2,3,3,3,3,3,Yes,Yes,Positive
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,1,1,2,Yes,Yes,Negative
> 45 ,Male > 45 Italian,Male,Informatics,High school graduation,Aeronautics,Engineering,Consultant,2,2,3,2,2,2,Yes,Yes,Positive
36 - 40 ,Male 36 - 40 Italian,Male,Scientific Field,Five-year degree,Services and Information Systems,Engineering,Junior Consultant,2,2,2,3,3,3,Yes,Yes,Positive
> 45 ,Male > 45 Italian,Male,Engineering,Five-year degree,Telecom,Not Specified,Not Specified,3,3,3,2,2,3,Yes,Yes,Negative
31 - 35 ,Female 31 - 35 Italian,Female,Engineering,Five-year degree,Life sciences,Engineering,Consultant,2,2,3,2,2,3,Yes,Yes,Positive
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,3,2,2,2,2,2,Yes,Yes,Negative
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Three-year degree,Automotive,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Three-year degree,Others,Not Specified,Not Specified,2,2,3,4,3,3,Yes,Yes,Negative
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Three-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,2,2,Yes,Yes,Negative
31 - 35 ,Female 31 - 35 Italian,Female,Engineering,Three-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
31 - 35 ,Female 31 - 35 Italian,Female,Engineering,Three-year degree,Railway,Tech Consulting & Solutions,Advanced Consultant,2,3,3,3,1,3,Yes,Yes,Positive
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,1,1,3,Yes,Yes,Negative
31 - 35 ,Female 31 - 35 Italian,Female,Engineering,Five-year degree,Others,Engineering,Consultant,2,1,2,2,2,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Three-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Consulting,Not Specified,Not Specified,2,2,1,1,2,3,Yes,Yes,Negative
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Three-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Three-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Three-year degree,Others,Not Specified,Not Specified,2,2,2,2,1,3,Yes,Yes,Positive
31 - 35 ,Female 31 - 35 Italian,Female,Engineering,Five-year degree,Railway,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Telecom,Tech Consulting & Solutions,Consultant,3,3,3,2,1,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Three-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
36 - 40 ,Male 36 - 40 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Others,Engineering,Junior Consultant,2,2,3,3,3,2,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Three-year degree,Automotive,Not Specified,Not Specified,3,2,2,2,2,2,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Three-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
31 - 35 ,Male 31 - 35 Italian,Male,Other,master's degree,Automotive,Not Specified,Not Specified,3,3,3,3,2,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Others,Tech Consulting & Solutions,Consultant,2,2,2,2,2,3,Yes,Yes,Positive
40 - 45 ,Male 40 - 45 Italian,Male,Engineering,Five-year degree,Services and Information Systems,Not Specified,Not Specified,3,3,3,4,3,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Three-year degree,Others,Not Specified,Not Specified,2,2,2,1,1,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,3,3,2,1,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Machining - Heavy Industry,Not Specified,Not Specified,1,1,2,2,2,2,Yes,Yes,Positive
26 - 30 ,Female 26 - 30 Italian,Female,Engineering,Five-year degree,Others,Not Specified,Not Specified,1,1,1,1,1,3,Yes,Yes,Negative
36 - 40 ,Male 36 - 40 Italian,Male,Engineering,Three-year degree,Unemployed,Business & Sales,Junior Business Manager,3,3,2,3,2,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,3,3,3,3,2,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Railway,Tech Consulting & Solutions,Consultant,2,2,2,2,2,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,2,3,3,3,1,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Three-year degree,Machining - Heavy Industry,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
> 45 ,Male > 45 Italian,Male,NO COLLEGE,High school graduation,Telecom,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
31 - 35 ,Female 31 - 35 Italian,Female,Engineering,Five-year degree,Life sciences,Not Specified,Not Specified,2,2,2,3,3,3,Yes,Yes,Negative
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,2,3,3,3,3,Yes,Yes,Negative
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Consulting,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
36 - 40 ,Male 36 - 40 Italian,Male,Engineering,Five-year degree,Aeronautics,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Others,Engineering,Consultant,2,2,2,2,2,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Unemployed,Engineering,Consultant,2,2,2,2,2,3,Yes,Yes,Positive
< 20 ,Male < 20 Italian,Male,Engineering,Three-year degree,Automotive,Engineering,Junior Consultant,2,2,2,3,3,2,Yes,Yes,Positive
26 - 30 ,Female 26 - 30 Italian,Female,Law,High school graduation,Others,Support,Support,1,3,3,3,2,2,Yes,Yes,Positive
31 - 35 ,Female 31 - 35 Italian,Female,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,1,3,3,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
< 20 ,Male < 20 Italian,Male,Engineering,Five-year degree,Others,Engineering,Junior Consultant,2,2,2,2,2,3,Yes,Yes,Positive
> 45 ,Male > 45 Italian,Male,Engineering,Five-year degree,Others,Engineering,Qualified Consultant,2,2,2,2,2,3,Yes,Yes,Positive
40 - 45 ,Female 40 - 45 Italian,Female,Engineering,Five-year degree,Automotive,Engineering,Qualified Consultant,3,2,3,2,2,3,Yes,Yes,Positive
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Automotive,Engineering,Qualified Consultant,3,3,2,2,3,3,Yes,Yes,Positive
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,master's degree,Space,Engineering,Consultant,2,2,2,2,2,3,Yes,Yes,Positive
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Three-year degree,Unemployed,Not Specified,Not Specified,1,2,2,2,1,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Services and Information Systems,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Telecom,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Female 26 - 30 Italian,Female,Engineering,Three-year degree,Unemployed,Engineering,Junior Consultant,2,2,2,2,2,3,Yes,Yes,Positive
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Three-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Three-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Railway,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
> 45 ,Male > 45 Italian,Male,Engineering,Five-year degree,Others,Engineering,Senior Consultant,3,2,3,2,1,2,Yes,Yes,Positive
36 - 40 ,Male 36 - 40 Italian,Male,Engineering,Five-year degree,Life sciences,Business & Sales,Junior Business Manager,2,2,2,2,2,3,Yes,Yes,Positive
> 45 ,Male > 45 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Three-year degree,Others,Not Specified,Not Specified,3,3,2,2,1,3,Yes,Yes,Positive
36 - 40 ,Male 36 - 40 Italian,Male,Engineering,Five-year degree,Aeronautics,Engineering,Consultant,2,2,2,2,2,3,Yes,Yes,Positive
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Telecom,Engineering,Consultant,2,2,2,2,2,3,Yes,Yes,Positive
40 - 45 ,Male 40 - 45 Italian,Male,Engineering,Five-year degree,Automotive,Engineering,Consultant,2,1,2,3,3,2,Yes,Yes,Positive
> 45 ,Male > 45 Italian,Male,Engineering,Five-year degree,Consulting,Engineering,Qualified Consultant,3,3,2,2,1,2,Yes,Yes,Positive
> 45 ,Male > 45 Italian,Male,Engineering,Five-year degree,Services and Information Systems,Not Specified,Not Specified,1,2,1,1,3,2,Yes,Yes,Negative
< 20 ,Female < 20 Italian,Female,Engineering,Five-year degree,Space,Engineering,Junior Consultant,2,3,3,3,3,2,Yes,Yes,Positive
31 - 35 ,Female 31 - 35 Italian,Female,Engineering,Five-year degree,Services and Information Systems,Engineering,Consultant,2,2,2,2,3,2,Yes,Yes,Positive
40 - 45 ,Male 40 - 45 Italian,Male,Engineering,Five-year degree,Aeronautics,Not Specified,Not Specified,2,3,2,3,3,3,Yes,Yes,Positive
36 - 40 ,Male 36 - 40 Italian,Male,Engineering,master's degree,Defence,Engineering,Qualified Consultant,3,3,3,3,3,3,Yes,Yes,Positive
> 45 ,Female > 45 Italian,Female,Engineering,Three-year degree,Railway,Tech Consulting & Solutions,Consultant,2,2,2,2,3,3,Yes,Yes,Positive
31 - 35 ,Female 31 - 35 Italian,Female,Engineering,Three-year degree,Energy,Engineering,???,3,3,3,3,3,2,Yes,Yes,Positive
40 - 45 ,Male 40 - 45 Italian,Male,Engineering,Five-year degree,Life sciences,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
40 - 45 ,Male 40 - 45 Italian,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,1,2,2,2,2,Yes,Yes,Negative
36 - 40 ,Male 36 - 40 Italian,Male,Engineering,Five-year degree,Consulting,Engineering,Consultant,4,4,3,4,3,3,Yes,Yes,Positive
> 45 ,Female > 45 Italian,Female,Engineering,Five-year degree,Defence,Engineering,Qualified Consultant,3,3,3,3,1,2,Yes,Yes,Positive
26 - 30 ,Female 26 - 30 Italian,Female,Engineering,Five-year degree,Life sciences,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
26 - 30 ,Female 26 - 30 Italian,Female,Engineering,Five-year degree,Unemployed,Engineering,Junior Consultant,2,2,2,2,2,3,Yes,Yes,Positive
31 - 35 ,Female 31 - 35 Italian,Female,Engineering,Five-year degree,Others,Engineering,Junior Consultant,2,3,2,3,2,2,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Unemployed,Engineering,Junior Consultant,3,3,3,3,3,2,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Automotive,Engineering,Junior Consultant,2,2,2,2,2,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,3,3,2,2,2,3,Yes,Yes,Negative
36 - 40 ,Male 36 - 40 Italian,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
< 20 ,Male < 20 Italian,Male,Engineering,Five-year degree,Others,Engineering,Junior Consultant,2,3,2,3,4,3,Yes,Yes,Positive
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Five-year degree,Machining - Heavy Industry,Not Specified,Not Specified,2,2,2,1,1,3,Yes,Yes,Negative
31 - 35 ,Male 31 - 35 Italian,Male,Engineering,Three-year degree,Services and Information Systems,Engineering,Junior Consultant,1,3,2,2,3,1,Yes,Yes,Positive
36 - 40 ,Male 36 - 40 Italian,Male,Engineering,Five-year degree,Automotive,Engineering,Consultant,2,2,2,2,2,3,Yes,Yes,Positive
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Three-year degree,Unemployed,Not Specified,Not Specified,1,3,3,2,1,3,Yes,Yes,Negative
26 - 30 ,Male 26 - 30 Italian,Male,Engineering,Three-year degree,Unemployed,Not Specified,Not Specified,2,2,1,2,1,3,Yes,Yes,Negative
26 - 30 ,Female 26 - 30 Italian,Female,Engineering,Five-year degree,Others,Not Specified,Not Specified,3,3,3,2,2,3,Yes,Yes,Negative
26 - 30 ,Female 26 - 30 Italian,Female,Engineering,Five-year degree,Railway,Engineering,Junior Consultant,2,3,3,3,4,3,Yes,Yes,Positive
26 - 30 ,Female 26 - 30 Italian,Female,Economic,Three-year degree,Others,Support,Support,2,2,2,2,2,2,Yes,Yes,Positive
